yorum;V1_genel_skor;V1_seviye;V1_Toksik;V1_Ağır Toksik;V1_Müstehcen;V1_Tehdit;V1_Hakaret;V1_Kimlik Nefreti;V2_genel_skor;V2_seviye;V2_Toksik;V2_Ağır Toksik;V2_Müstehcen;V2_Tehdit;V2_Hakaret;V2_Kimlik Nefreti;V3_genel_skor;V3_seviye;V3_Toksik;V3_Ağır Toksik;V3_Müstehcen;V3_Tehdit;V3_Hakaret;V3_Kimlik Nefreti;V4_genel_skor;V4_seviye;V4_Toksik;V4_Ağır Toksik;V4_Müstehcen;V4_Tehdit;V4_Hakaret;V4_Kimlik Nefreti;V5_genel_skor;V5_seviye;V5_Toksik;V5_Ağır Toksik;V5_Müstehcen;V5_Tehdit;V5_Hakaret;V5_Kimlik Nefreti;V5_2_genel_skor;V5_2_seviye;V5_2_Toksik;V5_2_Ağır Toksik;V5_2_Müstehcen;V5_2_Tehdit;V5_2_Hakaret;V5_2_Kimlik Nefreti;V5_02_genel_skor;V5_02_seviye;V5_02_Toksik;V5_02_Ağır Toksik;V5_02_Müstehcen;V5_02_Tehdit;V5_02_Hakaret;V5_02_Kimlik Nefreti;V5_22_genel_skor;V5_22_seviye;V5_22_Toksik;V5_22_Ağır Toksik;V5_22_Müstehcen;V5_22_Tehdit;V5_22_Hakaret;V5_22_Kimlik Nefreti
Bugün yaptıklarının bedelini ödeyeceğin gün geldiğinde etrafında kimseyi bulamayacaksın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0275;Güvenli;0.0275;0.0005;0.0037;0.0012;0.0031;0.0021;0.1173;Güvenli;0.0923;0.0002;0.0013;0.0007;0.1173;0.0018;0.0118;Güvenli;0.0118;0.0002;0.001;0.0005;0.0085;0.0016;0.1866;Güvenli;0.1825;0.0171;0.0166;0.0171;0.1866;0.02;0.1866;Güvenli;0.1825;0.0171;0.0166;0.0171;0.1866;0.02;0.1866;Güvenli;0.1825;0.0171;0.0166;0.0171;0.1866;0.02
Senin bu anlamsız alınganlıklarınla uğraşacak enerjim gerçekten kalmadı.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.035;Güvenli;0.035;0.0006;0.0063;0.0012;0.0036;0.0022;0.9855;Toksik;0.9855;0.0077;0.0137;0.0089;0.9795;0.0087;0.986;Toksik;0.986;0.0049;0.013;0.0072;0.9774;0.0098;0.6316;Toksik;0.6215;0.025;0.0198;0.0196;0.6316;0.0181;0.6316;Toksik;0.6215;0.025;0.0198;0.0196;0.6316;0.0181;0.6316;Toksik;0.6215;0.025;0.0198;0.0196;0.6316;0.0181
Yine kafanda kurup kendi kendine senaryolar yazıyorsun, sorun tamamen senin kafanın içinde.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0062;Güvenli;0.0062;0.0004;0.0025;0.0006;0.0015;0.0008;0.9836;Toksik;0.9836;0.0046;0.0139;0.0062;0.9732;0.009;0.8458;Toksik;0.8458;0.0006;0.0063;0.0017;0.788;0.0024;0.4645;Dikkat;0.4645;0.0229;0.0224;0.0174;0.4561;0.0156;0.4645;Dikkat;0.4645;0.0229;0.0224;0.0174;0.4561;0.0156;0.4645;Dikkat;0.4645;0.0229;0.0224;0.0174;0.4561;0.0156
Sadece dikkat çekmek için böyle davrandığını herkes biliyor, kendini rezil ediyorsun.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0218;Güvenli;0.0218;0.0005;0.0046;0.0008;0.0027;0.0014;0.9735;Toksik;0.9728;0.0052;0.0067;0.0072;0.9735;0.0095;0.9737;Toksik;0.9737;0.0024;0.0084;0.0045;0.9642;0.008;0.3243;Dikkat;0.3126;0.0191;0.017;0.0163;0.3243;0.0195;0.3243;Dikkat;0.3126;0.0191;0.017;0.0163;0.3243;0.0195;0.3243;Dikkat;0.3126;0.0191;0.017;0.0163;0.3243;0.0195
Anlattığın her şey o kadar abartılı ve yalan ki artık kimse seni ciddiye almıyor.;0.381;Dikkat;0.3563;0.1251;0.1798;0.381;0.2593;0.132;0.1173;Güvenli;0.1173;0.0048;0.0137;0.0494;0.0196;0.0035;0.0757;Güvenli;0.0757;0.0011;0.0082;0.0022;0.0069;0.0041;0.8703;Toksik;0.8703;0.0011;0.0041;0.0025;0.8387;0.0041;0.8781;Toksik;0.8781;0.0006;0.0058;0.0017;0.8198;0.0028;0.2093;Güvenli;0.2054;0.0166;0.013;0.0155;0.2093;0.0165;0.2093;Güvenli;0.2054;0.0166;0.013;0.0155;0.2093;0.0165;0.2093;Güvenli;0.2054;0.0166;0.013;0.0155;0.2093;0.0165
Duygusal tepkilerin tamamen mantık dışı, acilen bir tedavi görmen gerekiyor.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.007;Güvenli;0.007;0.0005;0.0023;0.0008;0.0019;0.0012;0.0028;Güvenli;0.0028;0.0004;0.0013;0.0007;0.0021;0.0011;0.0035;Güvenli;0.0035;0.0005;0.0011;0.0008;0.0022;0.0014;0.0621;Güvenli;0.06;0.0183;0.0142;0.0232;0.0621;0.014;0.0621;Güvenli;0.06;0.0183;0.0142;0.0232;0.0621;0.014;0.0621;Güvenli;0.06;0.0183;0.0142;0.0232;0.0621;0.014
Varlığın bu ortama sadece stres ve negatif enerji getiriyor.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0551;Güvenli;0.0551;0.0004;0.0056;0.0007;0.0027;0.0014;0.0028;Güvenli;0.0028;0.0004;0.0012;0.0007;0.0021;0.0011;0.0045;Güvenli;0.0045;0.0004;0.0011;0.0007;0.0028;0.0013;0.0552;Güvenli;0.0552;0.017;0.0155;0.0202;0.055;0.0161;0.0552;Güvenli;0.0552;0.017;0.0155;0.0202;0.055;0.0161;0.0552;Güvenli;0.0552;0.017;0.0155;0.0202;0.055;0.0161
Senin yerinde olsam, insan içine çıkmadan önce kendimden utanmayı öğrenirdim.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0078;Güvenli;0.0078;0.0004;0.002;0.0006;0.0017;0.0009;0.9685;Toksik;0.9685;0.0033;0.0095;0.0055;0.9658;0.0073;0.9141;Toksik;0.9141;0.001;0.0066;0.0028;0.904;0.0052;0.1667;Güvenli;0.1635;0.0165;0.0152;0.0159;0.1667;0.0166;0.1667;Güvenli;0.1635;0.0165;0.0152;0.0159;0.1667;0.0166;0.1667;Güvenli;0.1635;0.0165;0.0152;0.0159;0.1667;0.0166
Hiçbir katkı sağlamadığın gibi bir de sürekli köstek oluyorsun, gerçekten inanılmaz.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0099;Güvenli;0.0099;0.004;0.0066;0.0015;0.0095;0.0014;0.0081;Güvenli;0.0081;0.0005;0.0026;0.0008;0.0018;0.0012;0.9869;Toksik;0.9869;0.0054;0.0182;0.0062;0.9757;0.0085;0.9737;Toksik;0.9737;0.0026;0.0111;0.0045;0.9636;0.0058;0.6237;Toksik;0.6237;0.0286;0.0282;0.0214;0.6207;0.0176;0.6237;Toksik;0.6237;0.0286;0.0282;0.0214;0.6207;0.0176;0.6237;Toksik;0.6237;0.0286;0.0282;0.0214;0.6207;0.0176
Eğer susarsan belki o zaman insanlar senin hakkında biraz olsun olumlu düşünebilir.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.2925;Güvenli;0.2925;0.0014;0.044;0.002;0.0198;0.0073;0.0049;Güvenli;0.0049;0.0003;0.001;0.0006;0.0045;0.0011;0.2091;Güvenli;0.1575;0.0002;0.0021;0.0007;0.2091;0.0014;0.0978;Güvenli;0.0978;0.0156;0.0147;0.0173;0.0932;0.0152;0.0978;Güvenli;0.0978;0.0156;0.0147;0.0173;0.0932;0.0152;0.0978;Güvenli;0.0978;0.0156;0.0147;0.0173;0.0932;0.0152
Hayatta hiçbir baltaya sap olamamış birinin bana akıl vermesi gerçekten komik.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0276;Güvenli;0.0276;0.0005;0.0054;0.0006;0.0024;0.0014;0.1091;Güvenli;0.1065;0.0002;0.0015;0.0006;0.1091;0.0024;0.3812;Dikkat;0.2971;0.0002;0.0027;0.0007;0.3812;0.0026;0.1542;Güvenli;0.1542;0.0156;0.0185;0.0144;0.1532;0.0193;0.1542;Güvenli;0.1542;0.0156;0.0185;0.0144;0.1532;0.0193;0.1542;Güvenli;0.1542;0.0156;0.0185;0.0144;0.1532;0.0193
