yorum;V1_genel_skor;V1_seviye;V1_Toksik;V1_Ağır Toksik;V1_Müstehcen;V1_Tehdit;V1_Hakaret;V1_Kimlik Nefreti;V2_genel_skor;V2_seviye;V2_Toksik;V2_Ağır Toksik;V2_Müstehcen;V2_Tehdit;V2_Hakaret;V2_Kimlik Nefreti;V3_genel_skor;V3_seviye;V3_Toksik;V3_Ağır Toksik;V3_Müstehcen;V3_Tehdit;V3_Hakaret;V3_Kimlik Nefreti;V4_genel_skor;V4_seviye;V4_Toksik;V4_Ağır Toksik;V4_Müstehcen;V4_Tehdit;V4_Hakaret;V4_Kimlik Nefreti;V5_genel_skor;V5_seviye;V5_Toksik;V5_Ağır Toksik;V5_Müstehcen;V5_Tehdit;V5_Hakaret;V5_Kimlik Nefreti;V5_2_genel_skor;V5_2_seviye;V5_2_Toksik;V5_2_Ağır Toksik;V5_2_Müstehcen;V5_2_Tehdit;V5_2_Hakaret;V5_2_Kimlik Nefreti;V5_02_genel_skor;V5_02_seviye;V5_02_Toksik;V5_02_Ağır Toksik;V5_02_Müstehcen;V5_02_Tehdit;V5_02_Hakaret;V5_02_Kimlik Nefreti;V5_22_genel_skor;V5_22_seviye;V5_22_Toksik;V5_22_Ağır Toksik;V5_22_Müstehcen;V5_22_Tehdit;V5_22_Hakaret;V5_22_Kimlik Nefreti
Yardımların için sana çok teşekkür ederim, çok naziksin.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.3883;Dikkat;0.3883;0.0013;0.0209;0.0029;0.0167;0.0132;0.0223;Güvenli;0.0223;0.0002;0.0013;0.0006;0.0215;0.0009;0.0033;Güvenli;0.0033;0.0006;0.0012;0.0009;0.0027;0.001;0.0593;Güvenli;0.0593;0.0161;0.0177;0.0185;0.054;0.0163;0.0593;Güvenli;0.0593;0.0161;0.0177;0.0185;0.054;0.0163;0.0593;Güvenli;0.0593;0.0161;0.0177;0.0185;0.054;0.0163
Yarın sabah erken saatte toplantımız olduğunu unutmayın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0095;Güvenli;0.0095;0.0005;0.003;0.0008;0.0019;0.0012;0.002;Güvenli;0.002;0.0006;0.0014;0.0009;0.0014;0.0013;0.0022;Güvenli;0.0022;0.0008;0.001;0.0012;0.0017;0.0017;0.0495;Güvenli;0.0495;0.0181;0.0177;0.0227;0.0467;0.0163;0.0495;Güvenli;0.0495;0.0181;0.0177;0.0227;0.0467;0.0163;0.0495;Güvenli;0.0495;0.0181;0.0177;0.0227;0.0467;0.0163
Yeni aldığın bilgisayarın performansını beğendin mi?;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0506;Güvenli;0.0506;0.0241;0.0053;0.0007;0.0098;0.0036;0.0156;Güvenli;0.0156;0.0004;0.0028;0.0007;0.0022;0.0011;0.0026;Güvenli;0.0026;0.0004;0.0012;0.0007;0.0024;0.0011;0.0039;Güvenli;0.0039;0.0005;0.0012;0.0008;0.0029;0.0013;0.0814;Güvenli;0.0814;0.014;0.0176;0.0152;0.0636;0.0151;0.0814;Güvenli;0.0814;0.014;0.0176;0.0152;0.0636;0.0151;0.0814;Güvenli;0.0814;0.014;0.0176;0.0152;0.0636;0.0151
Hafta sonu sinemaya gitmek için biletleri şimdiden aldım.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.062;Güvenli;0.062;0.0005;0.0061;0.0008;0.0046;0.0026;0.0019;Güvenli;0.0019;0.0005;0.0014;0.0008;0.0015;0.0014;0.0029;Güvenli;0.0029;0.0005;0.0011;0.0009;0.0023;0.0014;0.0443;Güvenli;0.0411;0.0206;0.0188;0.0232;0.0443;0.018;0.0443;Güvenli;0.0411;0.0206;0.0188;0.0232;0.0443;0.018;0.0443;Güvenli;0.0411;0.0206;0.0188;0.0232;0.0443;0.018
Bu sorunu çözmek için birlikte çalışabiliriz.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0274;Güvenli;0.0274;0.0006;0.0059;0.001;0.0028;0.0018;0.0018;Güvenli;0.0018;0.0006;0.0015;0.001;0.0014;0.0014;0.0022;Güvenli;0.0022;0.0008;0.0012;0.0012;0.0017;0.0014;0.0412;Güvenli;0.0412;0.0224;0.0242;0.0291;0.0314;0.0201;0.0412;Güvenli;0.0412;0.0224;0.0242;0.0291;0.0314;0.0201;0.0412;Güvenli;0.0412;0.0224;0.0242;0.0291;0.0314;0.0201
Ödevimi tamamlamak için biraz daha zamana ihtiyacım var.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0265;Güvenli;0.0265;0.0059;0.0093;0.0007;0.0123;0.0041;0.0088;Güvenli;0.0088;0.0004;0.0031;0.0006;0.0016;0.0009;0.002;Güvenli;0.002;0.0005;0.0015;0.0009;0.0015;0.0012;0.0034;Güvenli;0.0034;0.0005;0.0014;0.0008;0.0024;0.0013;0.0572;Güvenli;0.0572;0.0168;0.0199;0.0189;0.0551;0.0151;0.0572;Güvenli;0.0572;0.0168;0.0199;0.0189;0.0551;0.0151;0.0572;Güvenli;0.0572;0.0168;0.0199;0.0189;0.0551;0.0151
Sunumunuzu dinledim, gayet bilgilendirici ve net olmuş.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0122;Güvenli;0.0122;0.0059;0.0053;0.0004;0.0057;0.001;0.385;Dikkat;0.385;0.0012;0.0208;0.0018;0.0216;0.0216;0.0023;Güvenli;0.0023;0.0004;0.0015;0.0007;0.0019;0.0011;0.003;Güvenli;0.003;0.0005;0.0013;0.0009;0.0021;0.0014;0.0752;Güvenli;0.0723;0.0152;0.0174;0.0157;0.0752;0.0161;0.0752;Güvenli;0.0723;0.0152;0.0174;0.0157;0.0752;0.0161;0.0752;Güvenli;0.0723;0.0152;0.0174;0.0157;0.0752;0.0161
Tren saat kaçta kalkacak, bir bilginiz var mı?;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0265;Güvenli;0.0265;0.0059;0.0093;0.0007;0.0123;0.0041;0.0201;Güvenli;0.0201;0.0005;0.0039;0.0007;0.0025;0.0013;0.0029;Güvenli;0.0029;0.0004;0.0013;0.0007;0.0021;0.0011;0.0029;Güvenli;0.0029;0.0005;0.0012;0.0009;0.002;0.0015;0.0578;Güvenli;0.0578;0.0176;0.0157;0.021;0.0573;0.0151;0.0578;Güvenli;0.0578;0.0176;0.0157;0.021;0.0573;0.0151;0.0578;Güvenli;0.0578;0.0176;0.0157;0.021;0.0573;0.0151
Doğum günün kutlu olsun, yeni yaşında mutluluklar dilerim.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0564;Güvenli;0.0564;0.0008;0.0057;0.0025;0.0057;0.0035;0.0019;Güvenli;0.0019;0.0006;0.0015;0.0009;0.0014;0.0013;0.003;Güvenli;0.003;0.0006;0.0014;0.0009;0.0018;0.0014;0.042;Güvenli;0.0394;0.0202;0.0208;0.0221;0.042;0.0186;0.042;Güvenli;0.0394;0.0202;0.0208;0.0221;0.042;0.0186;0.042;Güvenli;0.0394;0.0202;0.0208;0.0221;0.042;0.0186
Bu akşamki maçı hangi kanalın yayınlayacağını biliyor musun?;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0649;Güvenli;0.0649;0.0008;0.0104;0.0013;0.005;0.0029;0.0019;Güvenli;0.0019;0.0006;0.0014;0.0009;0.0014;0.0013;0.0027;Güvenli;0.0027;0.0006;0.0011;0.001;0.0017;0.0016;0.0767;Güvenli;0.0767;0.0161;0.0156;0.0179;0.076;0.014;0.0767;Güvenli;0.0767;0.0161;0.0156;0.0179;0.076;0.014;0.0767;Güvenli;0.0767;0.0161;0.0156;0.0179;0.076;0.014
Sınav sonuçları önümüzdeki hafta pazartesi günü açıklanacakmış.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0166;Güvenli;0.0166;0.0006;0.0044;0.001;0.0025;0.0017;0.0018;Güvenli;0.0018;0.0006;0.0013;0.0009;0.0015;0.0014;0.0027;Güvenli;0.0027;0.0006;0.001;0.001;0.0018;0.0016;0.0524;Güvenli;0.0524;0.0179;0.0177;0.0206;0.0503;0.0155;0.0524;Güvenli;0.0524;0.0179;0.0177;0.0206;0.0503;0.0155;0.0524;Güvenli;0.0524;0.0179;0.0177;0.0206;0.0503;0.0155
Bitki yetiştirmek insanı gerçekten çok rahatlatıyor.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0156;Güvenli;0.0156;0.0005;0.0039;0.0008;0.0022;0.0012;0.0047;Güvenli;0.0047;0.0002;0.0014;0.0004;0.0027;0.0018;0.0249;Güvenli;0.0169;0.0002;0.0011;0.0005;0.0249;0.0024;0.0763;Güvenli;0.0739;0.0166;0.0135;0.0186;0.0763;0.0151;0.0763;Güvenli;0.0739;0.0166;0.0135;0.0186;0.0763;0.0151;0.0763;Güvenli;0.0739;0.0166;0.0135;0.0186;0.0763;0.0151
Bana verdiğin tavsiyeler sayesinde işlerimi daha hızlı bitirdim.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0103;Güvenli;0.0103;0.0004;0.0023;0.0007;0.002;0.0013;0.0019;Güvenli;0.0019;0.0005;0.0015;0.0009;0.0015;0.0013;0.0024;Güvenli;0.0024;0.0007;0.0012;0.0011;0.002;0.0012;0.0944;Güvenli;0.0944;0.0147;0.0178;0.0153;0.0887;0.0152;0.0944;Güvenli;0.0944;0.0147;0.0178;0.0153;0.0887;0.0152;0.0944;Güvenli;0.0944;0.0147;0.0178;0.0153;0.0887;0.0152
Kargo şirketinden mesaj geldi, paket bugün teslim edilecek.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0084;Güvenli;0.0084;0.0004;0.0024;0.0006;0.002;0.0009;0.0018;Güvenli;0.0018;0.0006;0.0013;0.0009;0.0016;0.0014;0.0024;Güvenli;0.0024;0.0008;0.0015;0.0012;0.0015;0.0014;0.0497;Güvenli;0.0497;0.0193;0.0186;0.0234;0.0425;0.0181;0.0497;Güvenli;0.0497;0.0193;0.0186;0.0234;0.0425;0.0181;0.0497;Güvenli;0.0497;0.0193;0.0186;0.0234;0.0425;0.0181
Gelecek ay tatil için İzmir'e gitmeyi planlıyoruz.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0375;Güvenli;0.0249;0.0026;0.0145;0.0007;0.0375;0.0028;0.0093;Güvenli;0.0093;0.0005;0.0028;0.0008;0.0018;0.0012;0.0023;Güvenli;0.0023;0.0004;0.0013;0.0007;0.0015;0.0019;0.0043;Güvenli;0.0043;0.0004;0.001;0.0007;0.0021;0.0026;0.0628;Güvenli;0.0628;0.0163;0.0145;0.0195;0.06;0.0166;0.0628;Güvenli;0.0628;0.0163;0.0145;0.0195;0.06;0.0166;0.0628;Güvenli;0.0628;0.0163;0.0145;0.0195;0.06;0.0166
Yemek tarifi için teşekkürler, çok lezzetli oldu.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.315;Dikkat;0.315;0.0015;0.0351;0.0018;0.0199;0.0084;0.0021;Güvenli;0.0021;0.0005;0.0016;0.0009;0.0015;0.001;0.0022;Güvenli;0.0022;0.0008;0.0013;0.0012;0.0017;0.0016;0.0428;Güvenli;0.0428;0.0201;0.0192;0.023;0.0416;0.0186;0.0428;Güvenli;0.0428;0.0201;0.0192;0.023;0.0416;0.0186;0.0428;Güvenli;0.0428;0.0201;0.0192;0.023;0.0416;0.0186
Spor yapmanın sağlığımız üzerinde çok olumlu etkileri var.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0265;Güvenli;0.0265;0.0059;0.0093;0.0007;0.0123;0.0041;0.0345;Güvenli;0.0345;0.0005;0.0058;0.0008;0.0028;0.0013;0.0019;Güvenli;0.0019;0.0006;0.0015;0.0009;0.0014;0.0013;0.0053;Güvenli;0.0053;0.0003;0.001;0.0006;0.0049;0.0016;0.0443;Güvenli;0.0443;0.0203;0.0169;0.0238;0.0437;0.0193;0.0443;Güvenli;0.0443;0.0203;0.0169;0.0238;0.0437;0.0193;0.0443;Güvenli;0.0443;0.0203;0.0169;0.0238;0.0437;0.0193
Arabanın lastiklerini kış mevsimi gelmeden değiştirmeliyiz.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0069;Güvenli;0.0069;0.0005;0.0021;0.0007;0.0016;0.0013;0.0033;Güvenli;0.0033;0.0003;0.0014;0.0006;0.0025;0.0013;0.0043;Güvenli;0.0043;0.0004;0.0009;0.0007;0.0031;0.0021;0.1503;Güvenli;0.1503;0.0161;0.0138;0.0175;0.1501;0.0172;0.1503;Güvenli;0.1503;0.0161;0.0138;0.0175;0.1501;0.0172;0.1503;Güvenli;0.1503;0.0161;0.0138;0.0175;0.1501;0.0172
Kitap okumak kelime dağarcığını ciddi oranda geliştirir.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0037;Güvenli;0.0037;0.0005;0.0016;0.0006;0.0013;0.0009;0.002;Güvenli;0.002;0.0005;0.0015;0.0008;0.0015;0.0012;0.003;Güvenli;0.003;0.0005;0.0011;0.0009;0.002;0.0014;0.0558;Güvenli;0.0555;0.0174;0.017;0.0197;0.0558;0.015;0.0558;Güvenli;0.0555;0.0174;0.017;0.0197;0.0558;0.015;0.0558;Güvenli;0.0555;0.0174;0.017;0.0197;0.0558;0.015
Sabahları kahve içmeden güne başlamakta zorlanıyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0056;Güvenli;0.0056;0.0005;0.0021;0.0008;0.0015;0.0011;0.0023;Güvenli;0.0023;0.0005;0.0013;0.0007;0.0016;0.0014;0.0076;Güvenli;0.0076;0.0003;0.0011;0.0006;0.0076;0.0016;0.0509;Güvenli;0.0501;0.0182;0.0183;0.0199;0.0509;0.0159;0.0509;Güvenli;0.0501;0.0182;0.0183;0.0199;0.0509;0.0159;0.0509;Güvenli;0.0501;0.0182;0.0183;0.0199;0.0509;0.0159
Yeni açılan sergiyi ziyaret etmek için sabırsızlanıyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0045;Güvenli;0.0045;0.0006;0.0018;0.0008;0.0016;0.0011;0.0018;Güvenli;0.0018;0.0006;0.0015;0.001;0.0014;0.0012;0.0022;Güvenli;0.0022;0.0008;0.0012;0.0012;0.0017;0.0014;0.0445;Güvenli;0.0433;0.0199;0.0192;0.0224;0.0445;0.0182;0.0445;Güvenli;0.0433;0.0199;0.0192;0.0224;0.0445;0.0182;0.0445;Güvenli;0.0433;0.0199;0.0192;0.0224;0.0445;0.0182
Geçmiş olsun, umarım en kısa sürede sağlığına kavuşursun.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0195;Güvenli;0.0195;0.0026;0.0191;0.0018;0.0085;0.0053;0.0059;Güvenli;0.0059;0.0005;0.0021;0.0007;0.0017;0.001;0.002;Güvenli;0.002;0.0005;0.0014;0.0009;0.0016;0.0012;0.0036;Güvenli;0.0036;0.0005;0.0011;0.0009;0.0028;0.0011;0.049;Güvenli;0.049;0.0201;0.0194;0.03;0.0452;0.0147;0.049;Güvenli;0.049;0.0201;0.0194;0.03;0.0452;0.0147;0.049;Güvenli;0.049;0.0201;0.0194;0.03;0.0452;0.0147
Bu şarkı bana çocukluğumdaki yaz tatillerini hatırlatıyor.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0107;Güvenli;0.0107;0.0005;0.0028;0.0008;0.002;0.0013;0.0026;Güvenli;0.0026;0.0004;0.0015;0.0007;0.0015;0.0013;0.0027;Güvenli;0.0027;0.0006;0.0011;0.0009;0.0019;0.0016;0.0532;Güvenli;0.0532;0.0186;0.0213;0.0214;0.0476;0.0172;0.0532;Güvenli;0.0532;0.0186;0.0213;0.0214;0.0476;0.0172;0.0532;Güvenli;0.0532;0.0186;0.0213;0.0214;0.0476;0.0172
Toplantı odasını saat ikiye kadar rezerve ettim.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0084;Güvenli;0.0084;0.0005;0.0024;0.0008;0.0018;0.0011;0.0021;Güvenli;0.0021;0.0005;0.0015;0.0009;0.0016;0.0011;0.0031;Güvenli;0.0031;0.0005;0.0013;0.0009;0.002;0.0013;0.0505;Güvenli;0.0505;0.0181;0.0182;0.0232;0.0451;0.0158;0.0505;Güvenli;0.0505;0.0181;0.0182;0.0232;0.0451;0.0158;0.0505;Güvenli;0.0505;0.0181;0.0182;0.0232;0.0451;0.0158
